driver_age,experience_years,car_type,locality,profession,previous_accidents,traffic_violations,avg_speed,max_speed,lane_changes,acceleration_rate,harsh_brakes,following_distance,speed_variation,risk_label
56,24,SUV,Urban,Teacher,2,2,76.27022949370946,107.0406030567508,11,4.111671679908206,5,8.820687721100406,1.1906355296382642,2
46,3,SUV,Rural,Business,3,4,69.00398485128973,143.7613211282619,6,1.6541701050387727,2,9.872984189665726,6.0139586741765045,0
32,28,Truck,Rural,Teacher,2,4,93.81915559045947,100.49463409205444,7,1.2692395295495553,1,10.221619788923443,19.092532044396542,1
60,18,Truck,Semi-Urban,Engineer,1,7,70.18751791822383,114.95744366728935,0,2.3925656946223492,2,24.40033888491061,18.29611351277196,0
25,1,Sedan,Urban,Business,1,9,127.75494685606336,98.48280519798568,13,5.640786512059208,0,27.27413761349404,3.1972975524104905,2
38,9,Truck,Urban,Student,1,8,96.23424133620875,98.47352203233847,5,3.6846591464190532,4,19.070908011009223,18.259924198279226,2
56,24,Truck,Urban,Business,1,7,98.38615458912669,128.51907525160664,13,3.8965276931742916,3,28.949290618391885,19.326051437739487,2
36,19,Hatchback,Urban,Driver,1,2,83.20421938889558,109.34232403228346,10,4.053012642332899,3,23.200756280136517,7.1668660194464575,1
40,18,SUV,Urban,Student,3,0,122.25962178621859,119.47375854247589,1,2.661076251034413,3,19.092095846005723,14.319129378662083,2
28,22,Truck,Urban,Student,4,2,70.14732247086614,130.99631690216816,7,1.9079544308292813,4,20.289763171318228,11.639665894758965,2
28,23,Sedan,Semi-Urban,Driver,3,0,100.21328490893669,109.07234951175012,5,5.77120846581358,2,26.238353831160435,7.403943512464798,1
41,10,Truck,Rural,Student,4,8,58.236023278902906,106.11405603056342,10,4.776925365114041,5,7.254517685522353,3.913379837451881,2
53,33,SUV,Rural,Engineer,3,2,130.87238370492852,118.42327730033699,14,3.5552506113947118,1,9.200437174959621,7.971484258003491,2
57,27,Truck,Semi-Urban,Business,1,7,101.39802322630939,83.77860656040328,10,2.8835258482106494,0,11.65737459437704,18.628134857331737,1
41,4,Hatchback,Rural,Business,0,5,66.20251952518092,84.20707621361798,11,3.4138613787177103,5,27.369396399757555,16.41371913589358,2
20,4,SUV,Urban,Driver,4,2,95.51427994956174,81.03102770110033,2,1.1683259825054124,3,28.62362427801638,7.282816082215184,1
39,20,Truck,Urban,Engineer,0,8,106.25495143504925,87.73509944828606,3,2.2374675353255924,0,13.904263711716547,11.405831688205579,1
19,11,Hatchback,Rural,Student,1,7,67.11935017579444,70.32731800460195,6,2.2535300289059563,2,28.09643065028108,8.713271895482048,0
41,3,SUV,Urban,Business,4,2,75.79363126416649,58.590059340097234,8,3.226736700117004,5,18.671195024178722,9.85851911186341,2
61,19,Truck,Urban,Business,0,6,65.12992360753161,79.45509998358159,10,2.1813460478201288,1,16.831843604468983,15.463003034104531,1
47,37,Hatchback,Rural,Business,3,4,94.5767843601638,50.0,9,1.9272857904206848,3,25.819116948239998,11.317117818066347,1
55,24,Sedan,Semi-Urban,Business,1,1,88.64292685063332,107.0975539114725,1,4.827638787203389,2,18.65208592214624,4.43984480482404,0
19,13,Hatchback,Rural,Teacher,3,7,85.62821796102118,102.46882380094924,8,5.46752707744409,5,16.362057471697018,6.111676928286242,2
38,10,Sedan,Rural,Driver,3,0,68.88942244454853,118.52801166534007,14,1.3356997977241016,1,5.399087606758367,11.788083375674443,2
50,31,Truck,Rural,Student,1,3,80.8617997350172,76.68729801009462,5,2.048269085134918,5,5.3224415600977055,14.16357163865479,2
29,10,Hatchback,Rural,Student,4,3,70.68555172706931,112.47309913490956,1,4.868434027697448,3,20.689785003111535,10.654288120269003,0
39,17,Sedan,Semi-Urban,Driver,2,9,94.69393367144033,79.78601525655245,7,5.079173948179092,2,6.835423271172903,12.784000114482707,1
61,26,SUV,Semi-Urban,Engineer,2,4,63.94261968284391,119.3532134407868,3,3.5008005104156554,0,23.42363271840658,15.998162079934117,0
42,17,Hatchback,Urban,Driver,1,3,69.021125128534,54.45225276108064,10,4.474414035359748,5,20.558536582300043,11.362446407953176,2
44,22,Truck,Urban,Business,2,0,101.30620744197395,94.06760855565379,12,1.3880015349497352,4,16.44323831780386,19.566637550993686,2
59,10,SUV,Rural,Business,0,6,76.20217853307005,90.02238178635235,14,5.247643647440925,3,22.745091077792168,5.475804384251746,2
45,20,Sedan,Urban,Driver,4,9,120.21823473405392,119.92375455585227,7,5.16364378209454,1,29.826783611736214,18.47407675741102,2
33,4,Hatchback,Semi-Urban,Driver,3,1,88.92135350207238,119.55007427861688,10,4.467010235333533,1,11.15891934081301,5.705536101149798,1
32,22,Hatchback,Urban,Student,3,9,48.73509867553644,130.47052395517605,6,5.581634867551475,4,18.926392503681512,11.101246952240334,2
